cpu_usage,memory_usage,disk_io
19.6,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
50.0,71.7,78.0
100.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
0.0,71.7,78.0
