cpu_usage,memory_usage,disk_io
6.1,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
100.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
0.0,58.7,73.4
